Date	Time	Location	Description
01-01-12	0600	JPA & Lee Street	DUI
01-01-12	0550	UVA Medical Center	FOUND PROPERTY
01-01-12	0745	1335 Lee Street	TRESPASSING
01-01-12	1400	UVA Medical Center	SUSPICIOUS CIRCUMSTANCES
01-01-12	1912	Culbreth Garage	LARCENY
01-02-12	2110	Newcomb Hall	BREAKING & ENTERING
01-03-12	1226	520 Edgemont Road	SUSPICIOUS CIRCUMSTANCES
01-03-12	1330	Old Ivy Road	TRAFFIC ACCIDENT
01-03-12	2114	410 Seymour Road	PROPERTY DAMAGE
01-04-12	1000	164 Rugby Road	TRESPASSING
01-04-12	1113	McIntire School of Commerce	ASSIST CITIZEN
01-04-12	1545	Jordan Hall	SUSPICIOUS CIRCUMSTANCES
01-05-12	1026	Jordan Hall	LARCENY
01-05-12	1705	400 Block Emmett St	PROPERTY LOST
01-06-12	1130	UVA Hospital	VIOLATION OF PROTECTION ORDER
01-06-12	1332	Arlington Boulevard	ASSIST AGENCY
01-07-12	0759	UVA Hospital 6 East	FOUND PROPERTY
01-08-12	0800	115 Cocke Hall	FOUND PROPERTY
01-09-12	0510	Ruffner Hall	PROPERTY DAMAGE
01-09-12	1350	Bayly Drive	PROPERTY DAMAGE
01-09-12	2230	311 Reed Lane	SUSPICIOUS PERSON
01-10-12	1420	East Parking Garage	PROPERTY DAMAGE
01-10-12	2045	UVA Hospital	THREATNING CALLS
01-11-12	0140	13th & Wertland Street	DIP
01-11-12	1233	2304 Ivy Road	ASSIST AGENCY
01-12-12	0924	1240 Lee Street	LOST PROPERTY
01-12-12	1723	Varsity Softball Field	TRESPASSING
01-14-12	0600	300 Block Emmet Street	DUI
01-14-12	1200	Wilson Hall	LARCENY
01-14-12	1417	Emmet Service Area	LARCENY
01-16-12	1415	210 South Emmet Street NO PI	HIT & RUN
01-17-12	0600	Rotunda Alley	PROPERTY DAMAGE
01-17-12	0720	New Cabell Hall	FIRES NOT ARSON
01-17-12	1306	New Dorms Construction Site	ASSIST CITIZEN
01-17-12	1600	UVA Parking and Transportation	LARCENY
01-18-12	0200	7 East NICU	LARCENY FROM BUILDING
01-18-12	0312	Lambeth Commons	PROPERTY FOUND
01-18-12	0748	110 Mimosa Drive	VANDALISM
01-18-12	1000	Spanish House	LARCENY
01-18-12	1721	UVA ER	LOST PROPERTY
01-19-12	1158	Emily Couric Cancer Center	LARCENY
01-19-12	2005	1900 Block Carrs Hill Road	ASSIST CITIZEN
01-20-12	1254	UVA Hospital	ASSIST AGENCY
01-20-12	1540	UVA Hospital	SUSPICIOUS CIRCUMSTANCES
01-20-12	1830	East Lawn	LARCENY
01-20-12	1730	Ivy Road & Cresap Road	STOLEN PROPERTY
01-21-12	0247	Hancock Dorm	DRUG/NARCOTIC VIOLATION
01-21-12	0400	The Park	DRUG/NARCOTIC VIOLATION
