Date	Time	Location	Description
01-01-11	0446	Darden Faculty Parking Lot	PROPERTY DAMAGE
01-01-11	0633	313 2nd Street SE	ASSIST AGENCY
01-02-11	0435	Hospital East Garage	PROPERTY DAMAGE
01-02-11	1205	UVA Hospital	ASSIST AGENCY
01-03-11	1135	Zehmer Hall	ASSIST AGENCY
01-03-11	1423	Facilities Management Lot	LARCENY
01-03-11	1740	1221 Lee St	LARCENY
01-04-11	0645	4 Building	SUSPICIOUS CIRCUMSTANCES
01-04-11	1502	McCormick Road	LARCENY
01-05-11	0300	Chemistry Building	SUSPICIOUS CIRCUMSTANCES
01-05-11	1025	Millmont Street	LARCENY
01-05-11	0924	McCormick Road	TRAFFIC ACCIDENT
01-05-11	1221	Lewis Dorm	ANNOYING PHONE CALLS
01-05-11	1541	UVA Hospital	ASSIST AGENCY WARRANT
01-06-11	0845	Farrish Circle Parking Lot	VANDALISM
01-06-11	1125	Chemical Engineering	SUSPICIOUS CIRCUMSTANCES
01-06-11	1103	1335 Lee Street	TRAFFIC ACCIDENT
01-06-11	1146	5 Building	BURGLARY
01-06-11	1410	Darden School of Business	LARCENY
01-06-11	1232	UVA Hospital Expansion	LARCENY
01-06-11	1438	1215 Lee Street NO PI	HIT & RUN
01-06-11	2000	UVA Hospital 3rd floor	ASSAULT
01-07-11	0540	Cherry Avenue & Spring Lane	DUI
01-07-11	0655	Copeley Road	MEDICAL ASSIST
01-07-11	0802	Newcomb Road North NO P.I.	TRAFFIC ACCIDENT
01-07-11	0900	Leonard Sandridge Road NO P.I.	TRAFFIC ACCIDENT
01-07-11	1021	Alumni Hall	FRAUD
01-07-11	1230	UVA Hospital Admissions	THREATENING PHONE CALLS
01-07-11	1342	Hospital East Garage	VANDALISM
01-08-11	1235	147 Mimosa Court	SIMPLE ASSAULT
01-08-11	1500	UVA Emergency Room	SUSPICIOUS CIRCUMSTANCES
01-08-11	2350	UVA Emergency Room	LARCENY
01-09-11	1230	464 Lambeth Field	VANDALISM
01-09-11	2350	East Garage	LARCENY
01-09-11	2330	UVA Emergency Room	LARCENY
01-10-11	0224	252 McCormick Road	VANDALISM
01-10-11	0938	Wilsdorf Hall	BURGLARY
01-11-11	1620	164 Rugby Rd	LARCENY
01-12-11	1005	464 Lambeth Field	LARCENY
01-12-11	1325	Maupin Dorm	LARCENY
01-12-11	1425	Primary Care Center	INTIMIDATION
01-12-11	1730	Medical Center Library	ASSIST OTHER AGENCY/TRESPASS
01-13-11	1732	1215 Lee St	ASSIST OTHER AGENCY
01-13-11	2300	UVA Emergency Department	ASSAULT
01-14-11	1200	Gilmer hall	FORCIBLE FONDLING
01-14-11	1527	1224 JPA	BREAKING AND ENTERING
01-14-11	1555	Hospital West Complex parking lot	PROPERTY FOUND
01-15-11	0340	1500 block of Gordon Ave.	DIP
01-15-11	0520	Gordon Ave. and 16th Street SW	DUI
01-15-11	0700	1215 Lee Street	SIMPLE ASSAULT
01-15-11	2350	291 McCormick Rd.	TRAFFIC STOP AND FALSE ID
01-17-11	0430	West Main Street	DIP
01-17-11	0800	2304 Ivy Road	SUSPICIOUS CIRCUMSTANCE
01-17-11	1215	Lee Street	SIMPLE ASSAULT
01-17-11	1600	UVA Hospital	SIMPLE ASSAULT
01-18-11	0345	X	ASSIST CITIZEN
01-18-11	1430	UVA Hospital	ASSIST AGENCY
01-18-11	2115	X	ASSIST CITIZEN
01-19-11	0030	UVA Hospital ER Parking Lot	DIP
01-19-11	0400	14th Street NW & Wertland Street	SIMPLE ASSAULT
01-19-11	0430	525 McCormick Road	DIP
01-19-11	0900	Echols Dorm	SUSPICIOUS CIRCUMSTANCES
01-19-11	1400	1400 University Avenue	ROBBERY
01-20-11	1055	Cauthen Dorm	ASSIST CITIZEN
01-20-11	1230	520 Edgemont Rd	LARCENY
01-20-11	1430	Lee Street Garage NO P.I.	HIT AND RUN
01-21-11	0817	Tuttle House Parking Lot	VANDALISM
01-21-11	0929	Hospital 2nd Floor	LARCENY
01-21-11	1403	1222 JPA M13 Parking Lot	PROPERTY DAMAGE
01-21-11	2350	Stadium Road	ASSIST CITIZEN
01-22-11	0315	Gordon Ave & 17th St. NW	LIQUOR LAW VIOLATION
01-22-11	0201	Student Activity Building	PROPERTY FOUND
01-22-11	1341	1st floor Breezeway	VANDALISM
01-22-11	1844	McCormack Rd & Chapel	SUSPICIOUS CIRCUMSTANCES
01-23-11	0030	435 Treehouse Drive	ASSIST CITIZEN
01-23-11	0150	102 Emmet House	ASSIST CITIZEN
01-23-11	0400	Humphreys Dorm	SIMPLE ASSAULT
01-23-11	0440	Bonnycastle Dr.	MEDICAL ASSIST
01-23-11	1006	Newcomb Rd.	MOTOR VEHICLE THEFT
01-23-11	2330	Humphreys Dorm	MEDICAL ASSIST
01-24-11	0100	Bonnycastle Drive	DRUNK IN PUBLIC
01-24-11	0100	Gildersleeve Dorm	DRUG VIOLATION
01-24-11	0248	Metcalf Dorm	ASSIST CITIZEN
01-24-11	0400	UVA Emergency Room	DRUNK IN PUBLIC
01-24-11	0900	Hospital West Complex	SUSPICIOUS CIRCUMSTANCES
01-24-11	1500	Emmet Dorm	SUSPICIOUS CIRCUMSTANCES
01-24-11	1810	Webb Dorm Parking Area	PROPERTY DAMAGE
01-25-11	1045	Hospital West	ASSIST AGENCY
01-25-11	1520	Law School Book Store	SHOPLIFTING
01-25-11	1533	209 McCormick Road	BURGLARY
01-26-11	0235	Bonnycastle Drive	LIQUOR LAW VIOLATION
01-26-11	0300	Bonnycastle Drive	LIQUOR LAW VIOLATION
01-26-11	1200	163 Rugby Road	LARCENY
01-26-11	1145	Faulkner Way	ASSAULT
01-26-11	1828	Crispell Drive	TRAFFIC ACCIDENT
01-27-11	0800	Newcomb Hall	VANDALISM/DAMAGE
01-27-11	0910	5	BREAKING AND ENTERING
01-27-11	1535	Memorial Gym	ASSIST CITIZEN
01-28-11	0250	Thornton Hall	ASSIST CITIZEN
01-28-11	0815	Culbreth Road NO P.I.	VEHICLE ACCIDENT
01-28-11	1415	1222 Jefferson Park Avenue	ASSIST AGENCY
01-28-11	1600	West Complex Heating Plant	PROPERTY DAMAGE
01-29-11	0605	1215 Lee Street	DRUNK IN PUBLIC
01-29-11	1406	Clark Hall Library	LOST PROPERTY
01-29-11	2100	Medical Center	SEXUAL ASSAULT
01-29-11	1945	Bayly Art Museum	SUSPICIOUS CIRCUMSTANCES
01-30-11	0415	1200 Block West Main Street	DRUNK IN PUBLIC
01-30-11	0259	1101 Milmont Street	DRUNK IN PUBLIC
01-31-2011	0052	Peters Dorm Bike Rac	LARCENY
01-31-11	0051	475 Lambeth	SUSPICIOUS PERSON
01-31-11	0720	UVA Medical Center	VANDALISM
01-31-11	0744	UVA Facilities Recycling Dept	LARCENY
01-31-11	0915	Medical Center	LARCENY
01-31-2011	1055	Newcomb Hall Dining Hall	LOST PROPERTY
01-31-11	1445	Medical Center	SUSPICIOUS CIRCUMSTANCES
01-31-11	1510	Rotunda	FOUND PROPERTY
01-31-11	1242	McCormick Road	FOUND PROPERTY
01-31-2011	1730	1222 JPA	VEHICLE HIT & RUN
01-31-11	2102	Newcomb Hall	LOST PROPERTY
01-31-11	1730	Hospital East Garage NO P.I.	HIT & RUN
02-01-11	1807	Massie Road P.I.	TRAFFIC ACCIDENT
02-02-11	0015	Cauthen Dorm	ASSIST CITIZEN
02-02-11	0110	Humphreys Dorms	ASSIST CITIZEN
02-02-11	0325	Woody Dorm	VADALISM/DAMAGE/DESTRUCTION
02-02-11	1351	Thornton Hall	ASSIST CITIZEN
02-02-11	1420	Dining Hall	ASSIST CITIZEN
02-02-11	1757	Hench Dorm	VANDALISM/PROPERTY LOSS
02-02-11	2043	117 11th ST. SW	NARCOTIC VIOLATION
02-03-11	1400	Medical Center	BURGLARY/BREAKING & ENTERING
02-03-11	2335	Medical Center	ASSIST AGENCY
02-04-11	1630	Hill Dining	LARCENY
02-04-11	1735	Aquatic Fitness	ASSIST CITIZEN
02-04-11	2359	Medical Center	TRESPASS
02-05-11	0045	Rugby Road	ASSIST CITIZEN
02-05-11	0445	1105 West Main Street	DUI
02-05-11	2345	Lambeth Dorm	ASSIST CITIZEN
02-06-11	0152	Cauthen House	ASSIST CITIZEN MEDICAL
02-06-11	0215	Hereford Drive	ASSIST CITIZEN MEDICAL
02-06-11	1524	UVA Hospital	LARCENY FROM BUILDING
02-06-11	2215	Woody Dorm	ASSIST CITIZEN
02-07-11	1230	471 Lambeth Field	ASSIST CITIZEN MEDICAL
02-08-11	0659	UVA Hospital ER	FOUND PROPERTY
02-08-11	2324	UVA Hospital	ASSIST AGENCY
02-09-11	1030	214 Sprigg Lane	PROPERTY DAMAGE
02-09-11	1340	UVA Hospital	ASSIST AGENCY
02-09-11	1700	UVA Hospital	SIMPLE ASSAULT
02-09-11	1746	UVA Memorial Gym	LOST PROPERTY
02-09-11	2047	East Garage Ground Level	PROPERTY DAMAGE
02-10-11	0830	Lewis House	HARASSING E
02-10-11	0934	Randall Hall	FOUND PROPERTY
02-10-11	0800	Amphitheater McCormick Road	LARCENY
02-10-11	1015	McCormick Road NO P.I.	VEHICLE CRASH
02-11-11	1445	Aquatic and fitness Center	LOST PROPERTY
02-11-11	1732	164 McCormick Rd.	LARCENY
02-11-11	1930	325 Emmet Dorm	PROPERTY LOST
02-11-11	2351	Emmett Dorm	ASSIST CITIZEN
02-11-11	2340	Culbreth Garage	LIQUOR LAW VIOLATION
02-12-11	0318	132 Maupin Dorm	ASSIST CITIZEN
02-12-11	0305	161 Rugby Rd	ASSIST CITIZEN
02-12-11	1330	University Hall	LARCENY
02-13-11	1845	Aquatic and Fitness Center	ASSIST CITIZEN
02-14-11	1130	University Avenue	LOST PROPERTY
02-14-11	1530	Jordan Hall	LARCENY
02-14-11	1810	1335 Lee Street	BURGLARY
02-14-11	1958	145 McCormick Road	DIP
02-14-11	2359	Lambeth Field Apartments	ASSIST CITIZEN
02-14-11	2222	Hospital Drive	FOUND  PROPERTY
02-14-11	2355	Cauthen Dorm	DRUG/NARCOTICS VIOLATION
02-15-11	0400	431 Locust Avenue	ASSIST CITIZEN
02-15-11	1135	UVA Hospital	FIRE ALARM
02-15-11	1830	UVA Hospital	ASSIST AGENCY
02-15-11	1630	148 Amphitheater Way	PROPERTY DAMAGE
02-15-11	1557	Bayly Art Museum	ASSAULT
02-16-11	0100	1400 University Avenue	TRESPASSING
02-16-2011	0220	JAG School	ASSIST CITIZEN
02-16-2011	0920	UVA Hospital	DRUG EQUIPMENT
02-16-2011	0950	John Paul Jones Arena	VANDALISM
02-16-2011	1300	UVA PD Lobby	PROPERTY
02-16-2011	1616	Scott Stadium NO PI	HIT & RUN
02-16-2011	2000	John Paul Jones Arena	DRUNK IN PUBLIC
02-16-2011	2252	Newcomb Hall Dining Facility	LOST PROPERTY
02-16-2011	2220	Cauthen Dorm	ASSIST CITIZEN
02-16-2011	0300	Cauthen Dorm	SUSPICIOUS CIRCUMSTANCES
02-17-11	1037	John Paul Jones Arena	BREAKING AND ENTERING
02-17-2011	1313	Cabell Drive	AUTOMOBILE ACCIDENT
02-17-11	1648	Astronomy Building	LARCENY / THEFT
02-17-11	2230	Nau Hall	LOST PROPERTY
02-18-11	0900	Massie Road	ASSIST CITIZEN
02-18-11	1815	Madison Bowl	ASSIST CITIZEN
02-18-11	1820	Dell Basketball Courts	ASSIST CITIZEN
02-18-11	2320	University Avenue	DRUNK IN PUBLIC
02-19-11	1248	163 Rugby Road	BREAKING AND ENTERING
02-19-11	1923	Halsey Hall	PROPERTY DAMAGE
02-20-11	1445	McCormick Road	VANDALISM
02-20-11	1600	O’Hill Dining	ASSAULT
02-20-11	1509	Massie Rd parking lot	VEHICLE HIT & RUN
02-20-11	1930	6 parking lot	VEHICLE HIT & RUN
02-21-11	1453	New Dorms McCormick Rd	VANDALISM
02-21-11	2335	Cauthen Dorm	SUSPICIOUS CIRCUMSTANCES
02-22-11	1210	Grady Avenue/Preston Place	HABITUAL OFFENDER
02-22-11	1304	Hospital West Loading Dock	PROPERTY DAMAGE
02-23-11	1215	169 Rugby Road	VANDALISM
02-23-11	1130	New Cabell	BREAKING AND ENTERING
02-23-11	1400	McCormick Road	VANDALISM
02-23-11	1409	McCormick Road NO PI	TRAFFIC ACCIDENT
02-24-11	1430	UVA Medical Center	ASSIST CITIZEN
02-24-11	1316	Alderman Road	PROPERTY DAMAGE
02-24-11	1337	Cabell Drive	PROPERTY DAMAGE
02-24-11	1445	UVA Hospital	ASSIST AGENCY
02-24-11	1855	Lee Street	LARCENY
02-24-11	2030	Bice House	PROPERTY LOST
02-24-11	2235	Fitzhugh Dorm	SUSPICIOUS CIRCUMSTANCES
02-25-11	0419	Massie Road	VEHICLE ACCIDENT
02-25-11	0450	Ruffner Hall	VANDALISM
02-25-11	1204	Facilities Management Parking Lot	VEHICLE ACCIDENT
02-25-11	1544	Lee Street	PROPERTY DAMAGE
02-25-11	1406	Law School parking lot	PROPERTY DAMAGE
02-25-11	1515	Miller Center	SUSPICIOUS CIRCUMSTANCES
02-25-11	2000	McKim Hall Parking Lot	PROPERTY DAMAGE
02-25-11	2044	UVA Hospital	ASSAULT / INTIMIDATION
02-25-11	2310	Bonnycastle House	ASSIST CITIZEN
02-26-11	0008	Massie Road	ASSIST AGENCY
02-26-11	0220	Woody House	ASSIST CITIZEN
02-26-11	0545	Johnson House	SUSPPICIOUS CIRCUMSTANCES
02-26-11	1055	Lee Street	VEHICLE ACCIDENT
02-26-11	1100	Johnson House	ASSIST CITIZEN
02-26-11	2351	UVA Grounds	LOST PROPERTY
02-27-11	0205	Hereford Dr. (Runk Dining)	ASSIST CITIZEN
02-27-11	0430	Cauthen House	ASSIST CITIZEN
