Date	Time	Location	Description
01-01-16	0100	380 Crispell Drive	HIT & RUN
01-01-16	0430	1310 Wertland Street	DIP
01-01-16	0900	141 Cabell Drive	VANDALISM
01-02-16	2118	John Paul Jones Area	PROPERTY LOST
01-04-16	1708	1215 Lee Street	LARCENY
01-05-16	1600	380 Crispell Drive	BREAKING & ENTERING
01-05-16	1730	465 Crestwood Drive	FRAUD
01-06-16	0903	565 McCormick Road	RAPE
01-06-16	1531	JPA / Lane Road	VEHICLE CRASH
01-06-16	1816	Jordan Hall	ASSIST CITIZEN
01-05-16	2014	South Parking Garage	PROPERTY DAMAGE
01-07-16	0847	508 Floyd Drive	ACCIDENT
01-07-16	1155	1215 Lee Street	TRESPASS
01-07-16	1802	458 Lambeth Field	LARCENY
01-07-16	1630	117 11th Street	PROPERTY DAMAGE
01-07-16	1845	University Hall Parking Lot	ACCIDENT
01-08-16	1000	1221 Lee Street	LARCENY
01-08-16	1611	474 Birdwood Drive	LARCENY
01-09-16	1255	2304 Ivy Road	LOST PROPERTY
01-09-16	2027	1215 Lee Street	ASSIST CITIZEN
01-10-16	1038	300 Massie Road	LOST PROPERTY
01-10-16	1530	Alderman Road and Midmont Road	ASSIST CITIZEN
01-10-16	1545	4th Street NW and Commerce Street	ASSIST CITIZEN
1-11-16	1515	Alderman Rd & Pratt Drive	ACCIDENT
1-11-16	2045	1215 Lee Street	SAFEKEEPING
1-11-16	2343	585 McCormick Road	LEWD ACT
1-12-16	0853	1335 Lee Street	ATTEMPTED B&E
1-12-16	1014	1215 Lee Street	LARCENY
1-12-16	1511	749 Alderman Road	SIMPLE ASSAULT
1-12-16	1904	1335 Lee Street	FOUND PROPERTY
1-12-16	2150	1215 Lee Street	ASSIST AGENCY
1-12-16	2130	295 Massie Road	ASSIST CITIZEN
01-13-16	0050	1215 Lee Street	ASSIST CITIZEN
01-13-16	1435	Crispell Drive	LARCENY
01-13-16	1435	117 11th Street	LARCENY
01-15-16	0245	1505 University Avenue	ASSAULT
01-15-16	1300	295 Massie Road	VANDALISM
01-15-16	1700	160 McCormick Road	LARCENY
01-15-16	1800	252 McCormick Road	ASSAULT
01-15-16	2200	1222 Jefferson Park Ave	TRESPASS
1-17-16	0430	1200 Block West Main Street	DUI
01-17-16	1116	185 McCormick Road	VANDALISM
01-18-16	0112	1215 Lee Street	VANDALISM
1-19-16	0912	248 McCormick Road	ACCIDENT
1-19-16	1210	351 McCormick Road	ASSIST CITIZEN
1-19-16	1415	1222 Jefferson Park Ave	OBSCENCE PHONE CALL
1-19-16	2014	1315 Lee St reet	VANDALISM
01-20-16	0157	10 Bonnycastle Drive	MEDICAL ASSIST/UNDERAGE POSSESSION OF ALCOHOL
01-20-16	1250	465 Lambeth Field	LOST PROPERTY
01-20-16	2000	1215 Lee Street	FOUND PROPERTY
01-20-16	2105	450 Whitehead Road	LARCENY
01-21-16	0400	169 Rugby Road	MEDICAL ASSIST
01-21-16	1143	425 Treehouse Drive	LOST PROPERTY
01-21-16	1310	1215 Lee Street	DISORDER
01-21-16	1520	1215 Lee Street	THREATENING EMAIL
01-21-16	0300	Treehouse Drive	ACCIDENT
01-22-16	0336	420 McCormick Road	DRUG VIOLATION
01-22-16	1152		LARCENY
01-22-16	2247	10 East Pavilion	LOST PROPERTY
01-22-16	2200	1340 JPA	LOST PROPERTY
01-23-16	0115	1826 University Ave	ASSIST CITIZEN
01-23-16	0030	1815 Stadium Drive	ASSIST CITIZEN
01-23-16	0000	Hancock Drive	UNDERAGE POSSESSION
01-23-16	2316	1815 Stadium Rd	TRESPASSING
01-24-16	0209	1815 Stadium Road	TRESPASSing
01-24-16	0426	Hancock Drive	MEDICAL ASSIST/UNDERAGE POSSESSION OF ALCOHOL
01-24-16	0305	1815 Stadium Road	VANDALISM
01-24-16	0447	1815 Stadium Road	TRAFFIC ACCIDENT
01-24-16	1700	161 Rugby Road	RAPE
01-24-16	0830	225 Hereford Drive	WELFARE CHECK
01-24-16	2135	1215 Lee Street	TRESPASS
1-25-16	0015	2009 Stadium Road	LOST PROPERTY
1-25-16	0240	1815 Stadium Road	TRESPASS
1-25-16	0515	1215 Lee Street	TRESPASS
1-25-16	1315	295 Massie Road	TRAFFIC ACCIDENT
01-25-16	1630	160 McCormick Road	LARCENY
01-26-16	0110	1015 Massie Road	PROPERTY DAMAGE
01-27-16	0315	478 Floyd Drive	ASSIST CITIZEN/UNDERAGE POSSESSION OF ALCOHOL
01-27-16	0515	1215 Lee Street	ASSIST AGENCY WARRANT SERVICE
01-27-16	0542	1215 Lee Street	ASSIST AGENCY WARRANT SERVICE
01-26-16	0110	100 Block of University Way	HIT AND RUN
01-28-16	0920	1215 Lee Street	ASSIST CITIZEN
01-28-16	1044	416 Monroe Lane	ACCIDENT
01-28-16	1640	1910 Carr’s Hill Road	LARCENY
01-28-16	2115	1400 University Ave	DRUNK IN PUBLIC
01-29-16	0408	190 McCormick Road	DIP
01-29-16	0335	190 McCormick Road	DIP
01-29-16	1245	1215 Lee Street	ASSIST AGENCY
01-30-16	0149	1702 Univ. Ave.	ASSIST CITIZEN
01-30-16	0256	425 Treehouse Dr.	ASSIST CITIZEN
01-30-16	0730	1210 Lee Street	HIT AND RUN
01-30-16	1155	x	x
01-30-16	1216	100 Block 8th Street NW	ASSIST AGENCY
01-30-16	1303	1210 Lee Street	LARCENY
01-30-16	1659	1215 Lee Street	ASSAULT
01-30-16	1830	1826 University Ave	ASSIST AGENCY
01-31-16	0415	190 McCormick Rd.	ASSIST CITIZEN MEDICAL/UNDERAGE POSSESSION OF ALCOHOL
01-31-16	0339	1105 West Main Street	DIP
01-31-16	1814	1215 Lee Street	DIP
02-01-16	0228	1210 Lee Street NO PI	HIT & RUN
02-01-16	0148	561 McCormick Rd.	ASSIST CITIZEN/UNDERAGE POSSESSION OF ALCOHOL
02-02-16	0208	1215 Lee Street	ASSAULT
02-02-16	0458	1215 Lee Street	DIP
02-02-16	1115	159 Rugby Road	VANDALISM
02-02-16	1745	Copeley Road	ACCIDENT
02-02-16	2020	1215 Lee Street	ASSIST AGENCY
02-02-16	2140	400 McCormick Road	ASSIST AGENCY
02-02-16	2315	1215 Lee Street	ASSIST AGENCY
02-03-16	0036	585 McCormick Road	MEDICAL ASSIST
02-03-16	0437	579 McCormick Road	VANDALISM/FALSE FIRE ALARM
02-03-16	1400	450 McCormick Road	LARCENY
02-03-16	1430	1215 Lee Street	LARCENY
02-03-16	1453	100 Crispell Drive NO PI	ACCIDENT
02-03-16	1625	1210Lee Street NO PI	HIT AND RUN
02-04-16	1455	409 McCormick Rd	LOST PROPERTY
02-04-16	1605	1215 Lee St	ASSIST AGENCY
02-05-16	0002	85 Engineer’s Way	ASSIST CITIZEN
02-05-16	0225	136 Hospital Dr.	ASSIST CITIZEN
02-05-16	0241	450 McCormick Rd.	ASSIST CITIZEN
02-05-16	1131	1 Bonneycastle Drive	FORCIBLE FONDLING
02-05-16	1445	1300 Jefferson Park Ave	WELFARE CHECK
02-05-16	1700	123 Emmet Street	PROPERTY DAMAGE
02-06-16	0321	1215 Lee St	FOUND PROPERTY
02-06-16	0525	425 Treehouse Dr	ASSIST CITIZEN
02-06-16	1800	1210 Lee St	ASSIST CITIZEN
02-06-16	2300	215 Hereford Dr	SUSPICIOUS VEHICLE
