Date	Time	Location	Description
01-01-10	0214	Emmet St	DUI
01-01-10	1038	East Parking Garage	LARCENY
01-01-10	1921	UVA Hospital	SIMPLE ASSAULT
01-01-10	1800	2304 Ivy Road	ASSIST CITIZEN
01-01-10	2239	140 N Emmet St	ASSIST AGENCY
01-01-10	2350	Culbreth Road	POSSESSION OF FALSE ID
01-01-10	2300	UVA Hospital	SUSPICIOUS CIRCUMSTANCES
01-02-10	0945	UVA Hospital	LARCENY
01-02-10	1310	East Parking Garage	LARCENY
01-02-10	1507	Lee Street Parking Garage	SIMPLE ASSAULT
01-03-10	0445	Medical Center	ASSIST AGENCY
01-03-10	0412	Medical Center	DIP
01-03-10	22300	UVA Medical Center	LARCENY
01-04-10	734	575 Alderman Road	HIT AND RUN
01-04-10	1407	Newcomb Hall	SUSPICIOUS SITUATION
01-04-10	1430	McKim Hall	EXTORTION
01-04-10	2047	1215 Lee Street	BURGLARY
01-04-10	2336	1210 Lee Street	LARCENY
01-05-10	1739	1215 Lee Street	LARCENY
01-05-10	1555	5 Loading Dock NO PI	TRAFFIC ACCIDENT
01-06-10	1554	UVA Hospital	ASSAULT
01-06-10	1535	Ruffin Hall	LARCENY
01-06-10	1953	2983 Ivy Road	HIT & RUN
01-07-10	0905	Berringer Wing	LARCENY
01-07-10	1110	Copeley Road	TRAFFIC ACCIDENT
01-07-10	2015	252 McCormick Road	ASSIST CITIZEN
01-08-10	0327	700 Alderman Road	DUI
01-09-10	0001	UVA Hospital	DRUG/NARCOTIC VIOLATION
01-09-10	1051	4 Parking Lot	LARCENY
01-09-10	1750	Hospital West	DRUNKNNESS
01-09-10	2229	UVA Material Science	WATER LEAK
01-10-10	1825	Ruffner Hall	B & E
01-10-10	2028	Aquatic & Fitness Center	LARCENY
01-11-10	0230	UVA Hospital	ASSIST AGENCY
01-12-10	0150	West Main Street	DUI
01-12-10	1250	Newcomb Hall	LARCENY FROM BUILDING
01-13-10	0230	Darden Parking Garage	PROPERTY DAMAGE
01-13-10	1112	Astronomy Observatory	SUSPICIOUS CIRCUMSTANCES
01-14-10	0836	Olsson Hall	LARCENY
01-14-10	1500	T4 Parking Lot	HIT AND RUN
01-14-10	1822	Carruthers Hall	FIRE ALARM
01-15-10	0925	UVA Chapel	VANDALISM
01-15-10	1300	Aquatic Fitness Center	FOUND PROPERTY
01-15-10	1510	Hospital West Complex	SUSPICIOUS CIRCUMSTANCES
01-15-10	1108	Hospital Link	SUSPICIOUS CIRCUMSTANCES
01-15-10	1640	1222 Jefferson Park Ave	THREATENING PHONE CALLS
01-16-10	1718	Webb Dorm	ASSIST AGENCY
01-16-10	2050	UVA Hospital	PROPERTY FOUND
01-17-10	1230	University Hall	PROPERTY DAMAGE
01-17-10	2207	2132 Ivy Road	FOUND PROPERTY
01-18-10	0318	Hospital Drive	DRUG VIOLATION
01-18-10	0440	UVA Hospital	FOUND PROPERTY
01-18-10	0645	Dell Parking Lot	HIT AND RUN
01-18-10	1641	Emmet Street	ASSIST CITIZEN
01-18-10	2110	Dunglison Dorm	SUSPICIOUS CIRCUMSTANCES
01-19-10	0950	Dell Lot Construction Site	VANDALISM
01-19-10	0759	Alderman Road Construction Site	B & E
01-19-10	1208	Brooks Hall Stone Wall	VANDALISM
01-19-10	1655	1540 JPA Nau Hall	BURGLARY
01-19-10	1756	21 Bonnycastle Drive	VANDALISM
01-19-10	2305	1215 Lee Street	PROPERTY FOUND
01-20-10	0234	14th Street	DRUNK IN PUBLIC
01-20-10	1439	Metcalf Dorm	BREAKING AND ENTERING
01-21-10	1148	450 McCormick Road NO PI	HIT & RUN
01-21-10	1858	McCormick Road NO PI	TRAFFIC ACCIDENT
01-22-10	0220	McCormick Road	DIP
01-15-10	0853	Bonnycastle Drive	LARCENY
01-22-10	0730	Caruthers Hall Parking Lot NO PI	TRAFFIC ACCIDENT
01-22-10	1329	Stacey Hall Parking Lot NO PI	TRAFFIC ACCIDENT
01-22-10	1424	S6 Parking Lot	VANDALISM
01-22-10	1415	Stacy Hall Parking Lot	ASSIST AGENCY
01-23-10	1431	Crispell and Lee Street Intersection	PROPERTY DAMAGE
01-23-10	1629	163 Rugby Road	ASSAULT SIMPLE
01-23-10	2250	800 Alderman Road	DRUG/NARGOTICS VIOLATIONS
01-23-10	2346	Student Activities Building	POSSESSION OF FALSE ID
01-24-10	0320	211 Humphreys Dorm	ASSIST CITIZEN
01-24-10	0404	2304 Ivy Road	FOUND PROPERTY
01-24-10	1554	Couric Cancer Center Construction Site	FOUND PROPERTY
01-24-10	1617	Lambeth Field Parking Lot	PROPERTY DAMAGE
01-24-10	2133	1350 Jefferson Park Avenue	LARCENY/FRAUD
01-25-10	0823	Culbreath Road	LARCENY
01-25-10	1026	Faculty Housing	BREAKING & ENTERING
01-25-10	2330	190 McCormick Road	LIQUOR LAW VIOLATION
01-26-10	0210	Rugby Road	LIQUOR LAW VIOLATION
01-26-10	1942	1210 Lee Street	LARCENY
01-26-10	2146	HSC East Parking Garage	LARCENY
01-27-10	0026	Rugby Road	LIQUOR LAW VIOLATION
01-26-10	2305	Hoxton House	FIRE
01-27-10	0112	14th Street	DUI
01-27-10	0150	200 Maury Avenue	DRIVE WITHOUT LICENSE
01-27-10	1030	HSC East Parking Garage	HIT AND RUN
01-27-10	1502	300 Massie Road	TRAFFIC ACCIDENT
01-27-10	1645	Central Grounds Parking Garage	PROPERTY DAMAGE
01-27-10	1630	1222 Jefferson Park Avenue	TRAFFIC ACCIDENT
01-28-10	0208	203 Rugby Road	DIP
01-28-10	1424	West Range	DIP
01-28-10	1459	313 Dunglison Dorm	FRAUD
01-28-10	1655	KCRC Parking Lot	FAMILY OFFENSE
01-28-10	1920	Ruffin Hall	LARCENY
01-29-10	0025	1215 Lee Street	DIP
01-29-10	1448	300 Massie Road	TRAFFIC ACCIDENT
01-30-10	0435	Humpreys Dorm	ASSIST CITIZEN
01-30-10	0857	Massie Road	PROPERTY DAMAGE
01-30-10	1745	Brandon Avenue	TRAFFIC ACCIDENT
01-30-10	1748	Dunglison Dorm	FOUND PROPERTY
01-31-10	1158	1224 Jefferson Park Avenue NO PI	TRAFFIC ACCIDENT
01-31-10	0230	Kent Dorm	ASSIST CITIZEN
01-31-10	0350	Cauthen House	FIRE ALARM
02-01-10	1845	UVA Hospital	ASSIST AGENCY
02-01-2010	1854	381 Gooch Dorm	LARCENY
02-01-2010	2230	Culbreth Garage	LARCENY FROM VEHICLE
02-02-2010	1045	Old Cabell Hall	LARCENY
02-02-10	1249	Lee Street NO PI	TRAFFIC ACCIDENT
02-03-10	0140	Page Dorm	ASSIST CITIZEN
02-03-10	0205	UVA Hospital	DIP/VANDALISM
02-03-10	0345	Lefevre Dorm	ASSIST CITIZEN
02-03-10	0415	Fitzhugh Dorm	ASSIST CITIZEN
02-03-10	1550	Memorial Gym	LARCENY
02-03-10	1849	1222 JPA	B & E
02-03-2010	1800	John Paul Jones Arena	B & E
02-03-10	2056	Aquatics and Fitness Center	LARCENY
02-03-10	2227	UVA Hospital	SUSPICIOUS CIRCUMSTANCES
02-04-10	0200	UVA Hospital	TRESPASS
02-04-10	0330	190 Rugby Road	DIP
02-04-10	1555	UVA Hospital	ASSIST AGENCY
02-05-10	0032	Mary Munford Dorm	ASSIST CITIZEN
02-05-10	0200	14th Street NW	DRUNK IN PUBLIC
02-05-10	0430	515 Rugby Road	ASSIST CITIZEN
02-05-10	0630	UVA Hospital	SUSPICIOUS CIRCUMSTANCES
02-05-10	0655	UVA Hospital	SUSPICIOUS CIRCUMSTANCES
02-05-10	1014	Newcomb Hall Loading Dock	PROPERTY DAMAGE
02-05-10	1249	Clemons Library	LARCENY
02-06-10	2358	Brown College	ASSIST CITIZEN
02-07-10	1800	Alderman Library	B & E
02-07-10	1359	Alderman Library	PROPERTY LOST
02-07-10	1359	Campbell Hall	LARCENY
2-08-10	0732	Aquatic Fitness Center	ASSIST CITIZEN MEDICAL
02-08-10	1301	Physics Building	ASSIST CITIZEN MEDICAL
02-08-10	1600	Massie Road	DIP
02/08/10	1850	x	x
02-08-10	2330	Lefevre Dorm	DRUG/ NARCOTIC VIOLATION
2-09-10	0900	McCormick Rd	PROPERTY
02-09-10	1330	302 Massie Rd	TRAFFIC ACCIDENT
2-10-10	0754	1215 Lee St	ASSIST AGENT
02-10-10	1224	Culbreth Theater	PROPERTY DAMAGE
2-10-10	2135	Dabney House	SUSPICIOUS CIRCUMSTANCE
2-11-10	0010	McCue Center	LARCENY
02-11-10	1745	Sponsors Hall	LOST PROPERTY
02-12-10	0356	160 McCormick Road	DRUNK IN PUBLIC
02-12-10	1103	575 Alderman Road	PROPERTY DAMAGE
02-12-10	1720	Hill Dining	LARCENY
02-13-10	0120	Newcomb Hall	ASSIST AGENCY
02/13/10	0230	x	x
02-13-10	1059	Cocke Hall	VANDALISM/B & E
02-13-10	1014	Private Clinics	BREAKING AND ENTERING
02-13-10	1545	Robertson Hall	LARCENY FROM BUILDING
02-13-10	2245	Newcomb Hall	VANDALISM
02-14-10	0310	189 Culbreth Road Sigma Nu	ASSIST CITIZEN
02-14-10	0400	Scott Stadium	PROPERTY FOUND
02-14-10	0430	Emmet Dorm	ASSIST CITIZEN
02-14-10	1610	Alderman Road	PROPERTY DAMAGE
02-14-10	1735	Alderman Road/SAB	DRUNK IN PUBLIC/TRESPASSING
02-15-10	0130	Alderman Library	LARCENY
02-15-10	0205	UVA Hospital	ASSIST AGENCY
02-15-10	0856	575 Alderman Road	PROPERTY DAMAGE
02-15-10	1100	Hospital West	SIMPLE ASSAULT
02-15-10	1419	302 Massie Rd NO PI	TRAFFIC ACCIDENT
02-15-10	1421	11th Street Garage NO PI	HIT & RUN
02-15-10	1700	2304 Ivy Road	PROPERTY FOUND
02-16-10	1030	UVA Medical Center	LARCENY FROM BUILDING
02-16-10	1305	Hotel A McCormick Road	LARCENY
02-16-10	1405	400 McCormick Road	PROPERTY DAMAGE
02-16-10	2237	Floyd Drive/ Alderman Road	TRAFFIC ACCIDENT
02-17-10	0436	1300 W. Main Street	DUI/DRIVING REVOKED
02-17-10	1145	Clemons Library	TRESPASSING
02-18-10	1149	UVA Hospital ER	PROPERTY DAMAGE
02-18-10	1250	UVA Hospital	ASSAULT
02-18-10	1845	South Garage	PROPERTY DAMAGE
02-18-10	2156	D1 Parking Lot	FOUND PROPERTY
02-18-10	2347	East Range	LARCENY
02-19-10	0230	400 Emmet Street	DRUNK IN PUBLIC
02-19-10	0315	UVA Hospital	ASSIST AGENCY
02-19-10	0325	200 Rugby Road	DRUG VIOLATION
02-19-10	0050	UVA Hospital	VANDALISM
02-20-10	0300	University Avenue and Rugby Road	LIQUOR LAW VIOLATION
02-20-10	0456	1215 Lee Street	ASSIST AGENCY
02-20-10	1612	6 Parking Lot	PROPERTY DAMAGE
02-20-10	1636	Aquatic Fitness Center	LARCENY
02-21-10	0130	Lambeth Commons	DISORDERLY CONDUCT/DIP
02-21-10	0049	163 Rugby Road	ASSIST CITIZEN
02-21-10	0700	Alumni Hall	PROPERTY FOUND
02-21-10	0820	1215 Lee Street	TRESPASSING
02-21-10	1915	169 Rugby Road	LARCENY
02-21-10	1924	Newcomb Hall	VANDALISM
02-21-10	1730	Commonwealth Court	LARCENY
02-22-10	0310	1532 Virginia Avenue	DRUNK IN PUBLIC
02-22-10	0734	112 11th Street	VANDALISM
02-22-10	1558	Culbreth Garage NO PI	TRAFFIC ACCIDENT
02-22-10	1906	400 Whitehead Road	LARCENY FROM VEHICLE
02-23-10	0630	Pratt Drive	PROPERTY FOUND RECOVERED
02-23-10	0830	Pratt Drive	TRAFFIC ACCIDENT
02-23-10	0845	John Paul Jones Arena	HIT AND RUN
02-23-10	1507	Jefferson Park Avenue	TRAFFIC ACCIDENT
02-23-10	1945	UVA Hospital	ASSIST AGENCY
02-24-10	0747	Scotts Stadium Parking Lot NO PI	HIT AND RUN
02-24-10	1438	Campbell Hall	LARCENY FROM BUILDING
02-24-10	1848	UVA Book Store	SUSPICIOUS CIRCUMSTANCE
02-24-10	1225	1 Parking Lot	PROPERTY DAMAGE
02-25-10	1243	Colonnade Club	VANDALISM
02-25-10	2000	Copeley Road	LOST PROPERTY
02-25-10	1954	UVA Hospital	ASSAULT
02-25-10	2324	Jefferson Park Avenue/Lee Street	ASSIST CITIZEN
02-26-10	0335	Dabney Dorm	ASSIST CITIZEN
02-26-10	0340	583 Brandon Avenue	SUSPICIOUS CIRCUMSTANCES
02-26-10	1420	Bonnycastle Drive	LOST PROPERTY
02-26-10	1849	Aquatic Fitness Center	LARCENY
02-26-10	1920	170 Culbreth Road	BURGLARY
02-26-10	1731	Hench Dorm	ASSIST CITIZEN
02-27-10	1720	170 Culbreth Road	LARCENY
02-28-10	0357	University Avenue	DRUNK IN PUBLIC
02-28-10	0230	Mary Munford Dorm	ASSIST CITIZEN
02-28-10	0150	Webb Dorm	ASSIST CITIZEN
02-28-10	0418	University Avenue	DRUNK IN PUBLIC/DRUG VIOLATION
02-28-10	0400	McCormick Road	PROPERTY DAMAGE
02-28-10	0500	Dillard Dorm	ASSIST CITIZEN
02-28-10	1203	Hench House	ASSAULT
03-01-10	0454	Roosevelt Brown Blvd. and King Street	DUI
03-01-10	0720	UVA Hospital	PROPERTY DAMAGE
03-01-10	0810	Chemistry Building	PROPERTY DAMAGE
03-02-10	0230	2025 Ivy Road	DUI
03-02-10	1630	1109 Wertland Avenue	SUSPICIOUS CIRCUMSTANCES
03-02-10	2030	Kluge Children’s Rehabilitation Center	LARCENY
03-02-10	2330	450 Whitehead Road	ASSIST CITIZEN
03-03-10	0155	1215 Lee Street	FOUND PROPERTY
03-03-10	0215	Scott Stadium	PROPERTY FOUND
03-03-10	0342	Thornton Hall	DAMAGED PROPERTY
03-03-10	0838	Carruthers Hall	LARCENY
03-03-10	1342	HSC East Parking Garage	TRAFFIC ACCIDENT
03-04-10	0245	Madison Lane	DUI
03-04-10	1220	1335 Lee Street NO P.I.	TRAFFIC ACCIDENT
03-04-10	1645	Sponsors Hall	LARCENY
03-05-10	0330	161 Rugby Road	ASSAULT
03-05-10	1530	Newcomb Road	TRAFFIC ACCIDENT
03-05-10	1900	UVA Hospital	LARCENY
03-05-10	2355	10th Street/Page Street	DRIVING SUSPENDED
03-06-10	0401	134 Dunnington Dorm	ASSIST CITIZEN
03-06-10	1000	JPJ Loading Dock Parking Lot	ASSIST CITIZEN
03-06-10	2236	1215 Lee Street	ASSIST AGENCY
03-06-10	2230	UVA Police Department	ASSIST CITIZEN
03-08-10	0400	UVA Hospital	FIRE ALARMS/NO FIRE
03-08-10	1130	501 East Jefferson Street	ASSIST AGENCY
03-10-10	0445	UVA Hospital	ASSAULT
03-10-10	1115	University Avenue & Newcomb Road NO P.I.	TRAFFIC ACCIDENT
03-10-10	1551	169 Ruffner Hall	BURGLARY
03-10-10	1446	Madison Hall Parking Lot	LOST PROPERTY
03-10-10	2230	HSC East Parking Garage	LARCENY FROM VEHICLE
03-11-10	1135	Law School	BREAKING AND ENTERING
03-11-10	1142	UVA Hospital	ASSIST AGENCY
03-11-10	1330	Ruffner Hall	Burglary
03-11-10	2015	UVA Hospital	SUSPICIOUS CIRCUMSTANCES
03-12-10	1456	1222 Jefferson Park Avenue	LARCENY
03-12-10	1615	UVA Hospital West	BURGLARY
03-12-10	2200	JPJ Arena	ASSIST MEDICAL
03-13-10	0340	Run Street/Holly Drive	ASSIST AGENCY
03-13-10	0720	UVA Hospital	TRESPASSING
03-13-10	1015	500 Birdwood Drive	DAMAGED PROPERTY
03-13-10	1230	UVA Medical Center	TRESPASS
03-13-10	1403	Jordan Hall	PROPERTY LOST
