Date	Time	Location	Description
01-01-13	0247	1200 Wertland Street	DISORDERLY CONDUCT
01-01-13	0423	1200 Wertland Street	DRUNK IN PUBLIC
01-01-13	0520	17th Street NW & Grady Avenue	DRUNK IN PUBLIC
01-01-13	2335	Alderman Road & Stadium Road	FOUND PROPERTY
01-03-13	1335	180 McCormick Road	WARRANT SERVICE
01-05-13	0612	2100 Blk. Angus Rd.	DUI
01-05-13	0530	1221 Lee St	PROPERTY
01-05-13	2025	1215 Lee St	PUBLIC INTOXICATION
01-06-13	0630	JPA & Emmet Street	TRAFFIC STOP
01-06-13	0630	Ivy & Rothery Road	DUI
01-06-13	2030	295 Massie Road	MISSING ADULT
01-08-13	1429	450 Whitehead Road	ASSIST AGENCY
01-08-13	1446	Farrish Circle	ASSIST CITIZEN
01-08-13	1930	673 Alderman Road	LARCENY
01-09-13	0330	145 McCormick Road	DIP
01-09-13	1126	Parking and Transportation NO PI	TRAFFIC ACCIDENT
01-09-13	1208	180 McCormick Road	DISORDERLY PERSON
01-10-13	1245	Medical Center	LARCENY
01-10-13	1225	Lambeth Commons	TRESPASS
01-10-13	1530	21 Hospital Drive Medical School Building	B & E
01-10-13	1931	Lewis Dorm	BREAKING & ENTERING
01-10-13	2320	UVA Hospital 1st Floor	SUSPICIOUS PERSON
01-11-13	1205	Lee Street Parking Garage NO PI	TRAFFIC ACCIDENT
01-11-13	1540	UVA Hospital West	BREAKING & ENTERING
01-11-13	1424	409 McCormick Road	TRESPASSING
01-11-13	1230	UVA Hospital	LARCENY
01-12-13	23:45	245 Hereford Dr	LIQUOR LAW VIOLATION
01-13-13	0545	Emmet Street	TRESPASSING
2227	01-14-13	UVA Hospital E.D.	SWINDLE
01-15-13	1500	5 East UVA Hospital	ASSIST AGENCY
01-15-13	1440	64 Lambeth Commons	LARCENY
01-16-13	0955	North Grounds Construction Site	LARCENY
01-17-13	1330	UVA Hospital	THREATENING PHONE CALL
01-17-13	1120	11th Street Parking Garage	LARCENY
01-17-13	1200	561 McCormick Road	THREATENING PHONE CALL
01-17-13	1133	1221 Lee Street	LARCENY
01-18-13	0030	2504 Stadium Road	ASSIST CITIZEN
01-18-13	0345	Page Dorm	ASSIST CITIZEN
01-18-13	1100	834 Copley Dorms	LARCENY
01-19-13	0200	Dillard House	ASSIST CITIZEN
01-19-13	0700	248 McCormick Rd	FOUND PROPERTY
01-19-13	0949	South Parking Garage	PROPERTY DAMAGE
01-19-13	1530	500 Monroe Lane	ASSIST AGENCY WARRANT
01-20-13	0530	22 Elliewood Avenue	NARCOTICS  VIOLATION
01-20-13	0445	15th Street N.W.	TRAFFIC VIOLATION
01-20-13	0340	Grady Avenue & 11th Street N.W.	DIP
01-20-13	0540	UVA Emergency Room	TRESPASSING
01-20-13	1718	102 14th Street	ASSIST AGENCY
01-20-13	2230	35 Hancock Drive	SUSPICIOUS CIRCUMSTANCE
01-21-13	0413	Jefferson Park Ave	D.I.P
01-21-13	0700	Lee Street	FOUND PROPERTY
01-21-13	1211	160 McCormick Rd Alderman Library	LARCENY
01-21-2013	1622	UVA Hospital	VANDALISM
01-21-13	1950	409 McCormick Rd Chemistry Bldg	BURGLARY
01-21-13	2150	164 McCormick Rd Clemons Library	LARCENY
01-21-13	2200	Ruppel Drive	FORCIBLE FONDLING
01-22-13	0209	420 McCormick Rd	ASSIST CITIZEN
01-22-13	1245	1222 JPA	ASSIST AGENCY
01-22-13	1510	Hospital West	LOST PROPERTY
01-22-13	1644	Newcomb Hall	LARCENY
01-23-13	0404	Webb House	SUSPICIOUS CIRCUMSTANCES
01-23-13	0641	21 Bonnycastle Drive	VANDALISM
01-23-13	1315	Alderman Library	LARCENY
01-23-13	1510	1221 Lee Street	LARCENY
01-23-13	1412	1210 Lee Street	HIT & RUN
01-24-13	0315	Stadium Road	TRESPASS
01-24-13	0500	University Avenue	DUI
01-24-13	0655	Whitehead Road	ASSIST MEDICAL
01-24-13	0730	Lee Street	DRUG VIOLATION
01-25-13	0230	University Ave	DIP
01-25-13	0540	Leonard Sandridge way	DUI
01-25-13	1130	Hospital Dr	LOST PROPERTY
01-25-13	1520	JPA	SUSPICIOUS CIRCUMSTANCE
01-25-13	1535	Darden School	SUSPICIOUS CIRCUMSTANCE
01-25-13	2228	Hereford DR	LARCENY
01-26-13	0600	85 Engineers Way	PROPERTY FOUND/RECOVERED
01-26-13	2023	1215 Lee St	SIMPLE ASSAULT
01-27-13	0200	Maury Hall	PROPERTY DAMAGE
01-27-13	0700	17th Street NW/Virginia Avenue	DUI
01-27-13	1749	Ruffin Hall	LARCENY
01-27-13	2330	1221 Lee Street	ASSIST AGENCY
01-1-28-13	0410	200 14th Street NW	DUI
01-28-13	0823	The Lawn	ASSIST CITIZEN
01-28-13	07:52	11th Street Parking Garage NO PI	AUTOMOBILE ACCIDENT
01-28-13	1045	JPJ Arena	LARCENY
01-28-13	1425	1118 John Street	ASSIST AGENCY
01-28-13	1630	UVA Hospital 4th Floor East	LARCENY
01-28-13	11635	2 East Range	FOUND PROPERTY
01-28-13	1816	161 Rugby Road	LARCENY
01-28-13	1838	1215 Lee Street UVA Hospital	LARCENY
01-29-13	0108	Stadium Road	FORCIBLE FONDLING
01-29-13	0955	2304 Ivy Road	EVIDENCE DESTRUCTION
01-29-13	1336	Woody Dorm / 435 Tree House Dr	ASSIST CITIZEN MEDICAL
01-30-13	0042	673 Alderman Road	DRUG VIOLATION
01-30-13	0330	15 Hancock Road	DRUG VIOLATION
01-30-13	0430	10 East Pavilion	VANDALISM
01-30-13	1100	1415 Jefferson Park Avenue	SUSPICIOUS PERSON
OCC:	01-30-13	Cobb Hall	ASSIST CITIZEN/SUSPICIOUS CIRCUMSTANCES
01-30-13	1245	400 Brandon Avenue	ECO
01-30-13	1608	Scott Stadium Red Garage	SIMPLE ASSAULT
01-30-13	1839	Garrett Hall	MEDICAL ASSIST
01-30-13	2352	210 Emmet Street	MEDICAL ASSIST
01-31-13	0154	Rugby Road	DIP
01-31-13	0450	Jefferson Park Avenue	DUI
01-31-13	1615	11th Street Parking Garage	PROPERTY DAMAGE
1-31-13	1806	Alderman Rd NO P.I.	ACCIDENT
02-01-13	1654	Lee ST	BURGLARY
02-02-13	0530	104 14th Street NW	DUI
02-02-13	0710	New Cabell Hall	VANDALISM
02-02-13	1326	485 McCormick Road	SUSPICIOUS CIRCUMSTANCES
02-02-13	2107	201 Sprigg Lane	VANDALISM
02-02-13	2346	UVA Hospital	FIRE ALARM
02-03-13	0735	Rugby Road	VANDALISM
02-03-13	0900	UVA Hospital	ASSIST AGENCY
02-03-13	1908	Roosevelt Brown	ASSIST AGENCY
02-04-13	0040	Chemistry Building	LARCENY
02-04-13	0955	UVA Hospital	LARCENY
02-05-13	0925	1222 Jefferson Park Ave	ASSIST AGENCY
02-05-13	1330	407 Woody House	LARCENY
02-05-13	1120	Thornton Hall	LOST PROPERTY
02-05-13	1240	117 Dillard	ASSIST CITIZEN
02-05-13	1330	1001 N Emmet St	LARCENY FROM BUILDING
02-05-13	2033	1619 University Ave	TRAFFIC STOP
02-06-13	0500	JPA/Carrolton Terrace	DUI
02-06-13	1436	180 McCormick Road Newcomb Hall	LOST PROPERTY
02-06-13	17:00	1540 Jefferson Park Avenue	LARCENY
02-06-13	22:30	1605 Jefferson Park Ave	LOST PROPERTY
02-06-13	1730	451 Lambeth Commons	ASSIST CITIZEN
02-06-13	2042	1101 Millmont Street Parking Lot	ACCIDENT
02-06-13	22:20	102 Amphitheater Way	FOUND PROPERTY
02-07-13	1415	Garret Hall	B&E
02-07-13	1440	400 Emmet Street South	FOUND PROPERTY
02-07-13	1800	Gooch Dorm	SIMPLE ASSAULT
02-07-13	2315	140 McCormick Road	MEDICAL ASSIST
02-07-13	2314	1215 Lee Street	ASSIST AGENCY
02-08-13	0407	Woody House	ASSIST CITIZEN
02-08-13	1040	Lee St	LARCENY
02-08-13	1600	McKim Hall	ASSAULT
02-08-13	2030	Lee St	TRESPASSING
02-09-13	0245	Kent House	NARCOTICS VIOLATION
02-09-13	0200	Page Dorm	ASSIST CITIZEN
02-09-13	0545	673 Alderman Road	LARCENY
02-09-13	1130	UVA Hospital	LARCENY
02-10-13	0245	Rugby RD	DIP
02-11-13	0644	900 Anderson Street	DUI
02-11-13	1200	A7 Parking Lot	VANDALISM
02-11-13	1630	Davenport Field	LARCENY
02-11-13	1400	UVA Hospital	ASSIST AGENCY
02-11-13	1253	University Hall	LARCENY
02-11-13	1859	New Cabell Hall	SUSPICIOUS CIRCUMSTANCES
02-12-13	1105	University Hall East Lot NO PI	TRAFFIC ACCIDENT
02-12-13	1500	1335 Lee Street	PROPERTY DAMAGE
02-12-13	1500	Ruffner Hall	VANDALISM
02-12-13	2100	Primary Care Center	TRESPASSING
02-12-13	2105	108 Culbreth Road	B & E
02-13-13	0515	1605 Jefferson Park Avenue	LOST PROPERTY
02-13-13	0510	700 Block West Main Street	DUI
02-13-13	1107	Bice House	LARCENY
02-13-13	1600	Dunnington Dorm	LARCENY
02-15-13	1440	1210 Lee Street	PROPERTY DAMAGE
02-15-13	1514	351 McCormick Road	LARCENY
02-15-13	1940	33 Hospital Drive	FOUND PROPERTY
02-15-13	2000	UVA Hospital	LARCENY
02-16-13	0125	Gooch	ASSIST CITIZEN
02-16-13	0215	Main ST.	ASSIST AGENCY
02-16-13	2200	Scott Stadium West Parking Lot	HIT & RUN
02-16-13	2230	Massie RD	FALSE DRIVER'S LICENSE
02-17-13	0400	Ivy Road	DRIVING WHILE SUSPENDED
02-17-13	0314	University Avenue	D.U.I
02-17-13	1708	McCormick Road	LOST PROPERTY
02-18-13	0919	Hospital Drive	PROPERTY DAMAGE
02-18-13	0949	1215 Lee Street	LARCENY
02-18-13	1043	2454 Old Ivy Road	PROPERTY DAMAGE
02-18-13	1438	575 Alderman Road	PROPERTY DAMAGE
02-18-13	1830	Runk Dining Hall Parking Lot	PROPERTY LOST
02-18-13	2027	1101 Millmont Street Parking Lot NO P.I.	VEHICLE ACCIDENT
02-19-13	0853	Lee St	LARCENY
0930	02-19-13	Kellogg Dorm/McCormick Road	ABDUCTION
02-19-13	1030	McCormick Road	MEDICAL ASSIST
02-19-13	1400	UVA Hospital	LARCENY
02-19-13	1730	Massie Road	VANDALISM
02-20-13	0700	Ruffin Hall	FIRE ALARM
02-20-13	0545	Lee Street PI	TRAFFIC ACCIDENT
02-20-13	1230	UVA Hospital	THREATENING PHONE CALLS
02-20-13	1552	UVA Hospital	ASSIST AGENCY
02-20-13	1838	Darden Gatehouse	LARCENY
02-21-13	1246	1015 Massie Rd Field #1	FOUND PROPERTY
02-21-13	1329	1215 Lee St	SIMPLE ASSAULT
02-22-13	0358	1605 Jefferson Park Avenue	ASSIST/MEDICAL
02-22-13	0907	1240 Lee St, 3rd Floor Lobby	VANDALISM
02-23-13	0448	500 Block West Main Street	DUI
02-23-13	1141	Clemons Library	LARCENY
02-23-13	1420	1215 Lee Street	LARCENY
02-23-13	1403	West Range Café	LARCENY
02-23-13	2150	Woody Dorm	DRUG VIOLATION
02-23-13	2344	Bonnycastle Drive	DRUG VIOLATION
02-24-13	1900	1709 University Avenue	VANDALISM
02-24-13	2115	1210 Lee Street	SIMPLE ASSUALT
02-25-13	0122	164 McCormick Road	INDECENT EXPOSURE
02-25-13	1151	Golf Course Drive NO PI	ACCIDENT
02-25-13	1412	1210 Lee Street NO PI	ACCIDENT
02-25-13	1445	1340 Jefferson Park Ave	COMPUTER HARSSMANT
02-25-13	1517	UVA 11th Street Parking Garage NO PI	ACCIDENT
02-25-13	1915	90 Geldard Drive, Life Sciences Bldg	ASSIST CITIZEN
02-25-13	21:15	395 McCormick Rd.	FOUND PROPERTY
02-26-13	1630	Emily Couric Center	SUSPICIOUS CIRCUMSTANCES
02-26-13	2045	Darden Gate House	LOST PROPERTY
02-27-13	1130	LeFevre Dorm	SUSPICIOUS CIRCUMSTANCES
02-27-13	1800	Emmet Street	ASSIST AGENCY
02-27-13	2100	Campbell Hall	LARCENY
02-27-13	2315	Rugby Rd	ASSIST CITIZEN
02-28-13	0927	McIntire Wing	LARCENY
02-28-13	1130	1400 Jefferson Park Avenue	ASSAULT
02-28-13	1600	Housing Office	FRAUD
02-28-13	2020	11th Street Garage	SUSPICIOUS CIRCUMSTANCES
02-28-13	1827	M16 Parking Lot NO PI	TRAFFIC ACCIDENT
02-28-13	2201	1215 Lee Street	ASSAULT
03-01-13	0653	900 West Main Street	DUI
03-01-13	1230	130 Hospital Drive	SUSPICIOUS CIRCUMSTANCES
03-01-13	1445	1240 Lee Street	VANDALISM
03-01-13	2130	407 Massie Road	ASSIST CITIZEN
03-01-13	2358	211 Emmet Street	ASSIST CITIZEN
03-02-13	0245	University Avenue & Culbreth Drive	DRIVE SUSPENDED
03-02-13	0659	2500 Ivy Road	DUI
03-02-13	0700	2304 Ivy Road	FOUND PROPERTY
03-03-13	0140	1215 Lee Street	ASSIST AGENCY
03-03-13	0530	200 Rugby Road	ASSIST CITIZEN MEDICAL
03-03-13	0636	University/Hospital Drive	ASSIST CITIZEN MEDICAL
03-03-13	0600	McCormick / University Ave	DUI
03-03-13	0500	1826 University Ave	PROPERTY FOUND
03-0413	0826	Gwathmey House	VANDALISM
03-04-13	1436	Page /Emmet parking lot NO PI	TRAFFIC ACCIDENT
03-04-13	2249	Warrant Service	ASSIST AGENCY
03-05-13	1215	Pavilion I	TRESPASS
03-05-13	1109	1200 Lee Street	LARCENY
03-05-13	1100	1200 Lee Street	LARCENY
03-05-13	1434	5 East UVA Hospital	FOUND PROPERTY
03-05-13	1830	Cabell Drive NO PI	ACCIDENT
03-06-13	0430	Bice House	PROPERTY DAMAGE
03-06-13	1445	Hancock	PROPERTY DAMAGE
03-07-13	0700	189 Culbreth Road	ATTEMPTED RAPE
03-07-13	1003	S9 Parking Lot	PROPERTY DAMAGE
03-07-13	1003	S9 Parking Lot	PROPERTY DAMAGE
03-07-13	1314	Dell Lot	PROPERTY DAMAGE
03-07-13	2200	1215 Lee Street	ASSIST AGENCY
03-08-13	0543	1560 University Avenue	SHOTS FIRED
03-08-13	1223	Monroe Hall	B & E
03-08-13	1645	Monroe Hall	B & E
03-10-13	0727	700 West Main Street	DUI
03-10-13	1802	1215 Lee Street	ASSIST AGENCY
03-10-13	1838	295 Massie Road	FOUND PROPERTY
03-11-13	1235	1216 Lee Street Parking Garage	PROPERTY DAMAGE
03-11-13	1930	1215 Lee Street Medical Center	ASSIST AGENCY
03/12/13	0130	1216 Lee Street Parking Garage	TRESSPASSING
03-12-13	1330	Lambeth Service Road	VEHICLE CRASH
03-12-13	1600	432 McCormick Road	VANDALISM
03-12-13	1540	1 Parking Lot NO P.I.	HIT & RUN
03-12-13	1640	Stadium Garage	LARCENY
03-12-13	1740	1815 Stadium Road	PUBLIC INTOXICATION
03-13-13	0415	109 Culbreth Rd.	PROPERTY DAMAGE
